Org ID,Org Legal Name,Debt Type,Rating Type,Rating,Release Date,Current?,Org Type,Rtg Action,Rtg IG/SG,Org Region,Org Country,Rtg Category,Rtg Symbol Sort,Unsolicited Rtg,Tier Level,ISO Two Char Country Code,OL/CW,OL/CW Date,Confid,Name,Latitude,Longitude,As of Year,As of Year2
518179,Curacao,Issuer Credit Rating,Foreign Curr (Long-term),A-,11/21/2011,Y,Sovereign,New,IG,Latin America,Netherland Antilles,A,7,N,1,AN,Stable,21-Nov-11,N,Curacao,12,68,12/31/2000,2000
520599,Republic of Rwanda,Issuer Credit Rating,Foreign Curr (Long-term),B,12/29/2011,Y,Sovereign,New,SG,"Europe, Middle East, Africa",Rwanda,B,15,N,1,RW,Positive,29-Dec-11,N,Rwanda,-2,30,12/31/2000,2000
100187,Commonwealth of Australia (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,12/12/2000,N,Sovereign,Affirmation,IG,Pacific,Australia,AA,2,N,1,AU,Stable,12-Dec-00,N,Australia,-27,133,12/31/2000,2000
100188,Republic of Austria,Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/13/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Austria,AAA,1,N,1,AT,Stable,13-Jun-00,N,Austria,47.3333,13.3333,12/31/2000,2000
100804,Republic of Finland,Issuer Credit Rating,Foreign Curr (Long-term),AA+,10/3/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Finland,AA,2,N,1,FI,Positive,3-Oct-00,N,Finland,64,26,12/31/2000,2000
101662,New Zealand,Issuer Credit Rating,Foreign Curr (Long-term),AA+,3/26/2000,N,Sovereign,Affirmation,IG,Pacific,New Zealand,AA,2,N,1,NZ,Negative,26-Mar-00,N,New Zealand,-41,174,12/31/2000,2000
102251,Kingdom of Sweden,Issuer Credit Rating,Foreign Curr (Long-term),AA+,7/24/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Sweden,AA,2,N,1,SE,Positive,24-Jul-00,N,Sweden,62,15,12/31/2000,2000
104516,Japan (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,2/21/2000,N,Sovereign,Affirmation,IG,Asia,Japan,AAA,1,N,1,JP,Stable,21-Feb-00,N,Japan,36,138,12/31/2000,2000
107135,Republic of Italy (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA,4/19/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Italy,AA,3,N,1,IT,Stable,19-Apr-00,N,Italy,42.8333,12.8333,12/31/2000,2000
107429,Republic of Ireland,Issuer Credit Rating,Foreign Curr (Long-term),AA+,10/3/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Ireland,AA,2,N,1,IE,Positive,3-Oct-00,N,Ireland,53,-8,12/31/2000,2000
107432,Malaysia,Issuer Credit Rating,Foreign Curr (Long-term),BBB,8/31/2000,N,Sovereign,Affirmation,IG,Asia,Malaysia,BBB,9,N,1,MY,Positive,31-Aug-00,N,Malaysia,2.5,112.5,12/31/2000,2000
107479,Kingdom of Thailand,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,12/5/2000,N,Sovereign,Affirmation,IG,Asia,Thailand,BBB,10,N,1,TH,Stable,5-Dec-00,N,Thailand,15,100,12/31/2000,2000
107749,Republic of Korea,Issuer Credit Rating,Foreign Curr (Long-term),BBB,6/1/2000,N,Sovereign,Affirmation,IG,Asia,"Korea, Republic of",BBB,9,N,1,KR,Positive,1-Jun-00,N,Korea (South),37,127.5,12/31/2000,2000
108303,Republic of Singapore (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,4/19/2000,N,Sovereign,Affirmation,IG,Asia,Singapore,AAA,1,N,1,SG,Stable,19-Apr-00,N,Singapore,1.3667,103.8,12/31/2000,2000
109408,Republic of Iceland,Issuer Credit Rating,Foreign Curr (Long-term),A+,2/23/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Iceland,A,5,N,1,IS,Positive,23-Feb-00,N,Iceland,65,-18,12/31/2000,2000
109900,Republic of Portugal,Issuer Credit Rating,Foreign Curr (Long-term),AA,4/5/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Portugal,AA,3,N,1,PT,Stable,5-Apr-00,N,Portugal,39.5,-8,12/31/2000,2000
109902,Federative Republic of Brazil,Issuer Credit Rating,Foreign Curr (Long-term),B+,2/29/2000,N,Sovereign,Affirmation,SG,Latin America,Brazil,B,14,N,1,BR,Positive,29-Feb-00,N,Brazil,-10,-55,12/31/2000,2000
110075,State of Israel,Issuer Credit Rating,Foreign Curr (Long-term),A-,10/23/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Israel,A,7,N,1,IL,Stable,23-Oct-00,N,Israel,31.5,34.75,12/31/2000,2000
110284,Taiwan (Republic of China) (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,12/6/2000,N,Sovereign,Affirmation,IG,Asia,Taiwan,AA,2,N,1,TW,Negative,6-Dec-00,N,Taiwan,23.5,121,12/31/2000,2000
111682,Republic of India (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),BB,10/10/2000,N,Sovereign,Affirmation,SG,Asia,India,BB,12,N,1,IN,Stable,10-Oct-00,N,India,20,77,12/31/2000,2000
111779,People's Republic of China,Issuer Credit Rating,Foreign Curr (Long-term),BBB,6/22/2000,N,Sovereign,Affirmation,IG,Asia,China,BBB,9,N,1,CN,Stable,22-Jun-00,N,China,35,105,12/31/2000,2000
112056,Republic of Tunisia,Issuer Credit Rating,Foreign Curr (Long-term),BBB,7/11/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Tunisia,BBB,9,N,1,TN,Stable,11-Jul-00,N,Tunisia,34,9,12/31/2000,2000
112159,Republic of Turkey,Issuer Credit Rating,Foreign Curr (Long-term),B+,12/5/2000,N,Sovereign,Affirmation,SG,"Europe, Middle East, Africa",Turkey,B,14,N,1,TR,Stable,5-Dec-00,N,Turkey,39,35,12/31/2000,2000
117955,Republic of Cyprus,Issuer Credit Rating,Foreign Curr (Long-term),A,11/28/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Cyprus,A,6,N,1,CY,Stable,28-Nov-00,N,Cyprus,35,33,12/31/2000,2000
118855,United Mexican States,Issuer Credit Rating,Foreign Curr (Long-term),BB+,11/21/2000,N,Sovereign,Affirmation,SG,Latin America,Mexico,BB,11,N,1,MX,Positive,21-Nov-00,N,Mexico,23,-102,12/31/2000,2000
118926,Hungary,Issuer Credit Rating,Foreign Curr (Long-term),A-,12/19/2000,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Hungary,A,7,N,1,HU,Stable,19-Dec-00,N,Hungary,47,20,12/31/2000,2000
119830,Republic of Indonesia,Issuer Credit Rating,Foreign Curr (Long-term),B-,10/2/2000,N,Sovereign,Upgrade,SG,Asia,Indonesia,B,16,N,1,ID,Stable,2-Oct-00,N,Indonesia,-5,120,12/31/2000,2000
120283,Republic of Chile,Issuer Credit Rating,Foreign Curr (Long-term),A-,6/23/2000,N,Sovereign,Affirmation,IG,Latin America,Chile,A,7,N,1,CL,Stable,23-Jun-00,N,Chile,-30,-71,12/31/2000,2000
121032,Republic of Colombia,Issuer Credit Rating,Foreign Curr (Long-term),BB,5/24/2000,N,Sovereign,Downgrade,SG,Latin America,Colombia,BB,12,N,1,CO,Negative,24-May-00,N,Colombia,4,-72,12/31/2000,2000
126751,Republic of the Philippines,Issuer Credit Rating,Foreign Curr (Long-term),BB+,10/19/2000,N,Sovereign,Affirmation,SG,Asia,Philippines,BB,11,N,1,PH,Negative,19-Oct-00,N,Philippines,13,122,12/31/2000,2000
127096,Republic of Argentina (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),BB-,11/14/2000,N,Sovereign,Downgrade,SG,Latin America,Argentina,BB,13,N,1,AR,Stable,14-Nov-00,N,Argentina,-34,-64,12/31/2000,2000
127424,Czech Republic,Issuer Credit Rating,Foreign Curr (Long-term),A-,12/18/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Czech Republic,A,7,N,1,CZ,Stable,18-Dec-00,N,Czech Republic,49.75,15.5,12/31/2000,2000
127695,Oriental Republic of Uruguay,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,4/24/2000,N,Sovereign,Affirmation,IG,Latin America,Uruguay,BBB,10,N,1,UY,Stable,24-Apr-00,N,Uruguay,-33,-56,12/31/2000,2000
128364,Slovak Republic,Issuer Credit Rating,Foreign Curr (Long-term),BB+,11/9/2000,N,Sovereign,Affirmation,SG,"Europe, Middle East, Africa",Slovak Republic,BB,11,N,1,SK,Positive,9-Nov-00,N,Slovak Republic,48.6667,19.5,12/31/2000,2000
128507,Republic of Malta,Issuer Credit Rating,Foreign Curr (Long-term),A,5/2/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Malta,A,6,N,1,MT,Stable,2-May-00,N,Malta,35.8333,14.5833,12/31/2000,2000
129601,Islamic Republic of Pakistan,Issuer Credit Rating,Foreign Curr (Long-term),B-,12/13/2000,N,Sovereign,Affirmation,SG,Asia,Pakistan,B,16,N,1,PK,Stable,13-Dec-00,N,Pakistan,30,70,12/31/2000,2000
129834,Republic of South Africa,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,2/25/2000,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",South Africa,BBB,10,N,1,ZA,Stable,25-Feb-00,N,South Africa,-29,24,12/31/2000,2000
301457,Republic of Poland,Issuer Credit Rating,Foreign Curr (Long-term),BBB+,5/15/2000,N,Sovereign,Upgrade,IG,"Europe, Middle East, Africa",Poland,BBB,8,N,1,PL,Stable,15-May-00,N,Poland,52,20,12/31/2000,2000
304405,State of Qatar,Issuer Credit Rating,Foreign Curr (Long-term),BBB,6/21/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Qatar,BBB,9,N,1,QA,Stable,21-Jun-00,N,Qatar,25.5,51.25,12/31/2000,2000
304779,Romania,Issuer Credit Rating,Foreign Curr (Long-term),B-,8/4/2000,N,Sovereign,Affirmation,SG,"Europe, Middle East, Africa",Romania,B,16,N,1,RO,Stable,4-Aug-00,N,Romania,46,25,12/31/2000,2000
304874,Republic of Trinidad and Tobago,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,6/22/2000,N,Sovereign,Affirmation,IG,Latin America,Trinidad and Tobago,BBB,10,N,1,TT,Stable,22-Jun-00,N,Trinidad and Tobago,11,-61,12/31/2000,2000
305647,Republic of Slovenia,Issuer Credit Rating,Foreign Curr (Long-term),A,7/6/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Slovenia,A,6,N,1,SI,Stable,6-Jul-00,N,Slovenia,46,15,12/31/2000,2000
308102,Russian Federation,Issuer Credit Rating,Foreign Curr (Long-term),B-,12/8/2000,N,Sovereign,Upgrade,SG,"Europe, Middle East, Africa",Russia,B,16,N,1,RU,Stable,8-Dec-00,N,Russian Federation,60,100,12/31/2000,2000
308592,Republic of Kazakhstan,Issuer Credit Rating,Foreign Curr (Long-term),BB-,7/28/2000,N,Sovereign,Upgrade,SG,"Europe, Middle East, Africa",Kazakhstan,BB,13,N,1,KZ,Stable,28-Jul-00,N,Kazakhstan,48,68,12/31/2000,2000
309863,Arab Republic of Egypt,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,7/3/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Egypt,BBB,10,N,1,EG,Negative,3-Jul-00,N,Egypt,27,30,12/31/2000,2000
309881,Republic of Latvia,Issuer Credit Rating,Foreign Curr (Long-term),BBB,10/10/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Latvia,BBB,9,N,1,LV,Stable,10-Oct-00,N,Latvia,57,25,12/31/2000,2000
309896,Republic of Croatia,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,3/15/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Croatia,BBB,10,N,1,HR,Negative,15-Mar-00,N,Croatia,45.1667,15.5,12/31/2000,2000
309936,Republic of Panama,Issuer Credit Rating,Foreign Curr (Long-term),BB+,7/6/2000,N,Sovereign,Affirmation,SG,Latin America,Panama,BB,11,N,1,PA,Stable,6-Jul-00,N,Panama,9,-80,12/31/2000,2000
310484,Republic of Lebanon,Issuer Credit Rating,Foreign Curr (Long-term),B+,9/18/2000,N,Sovereign,Downgrade,SG,"Europe, Middle East, Africa",Lebanon,B,14,N,1,LB,Stable,18-Sep-00,N,Lebanon,33.8333,35.8333,12/31/2000,2000
315374,Republic of Costa Rica,Issuer Credit Rating,Foreign Curr (Long-term),BB,7/27/2000,N,Sovereign,Affirmation,SG,Latin America,Costa Rica,BB,12,N,1,CR,Positive,27-Jul-00,N,Costa Rica,10,-84,12/31/2000,2000
315433,Republic of Lithuania,Issuer Credit Rating,Foreign Curr (Long-term),BBB-,10/20/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Lithuania,BBB,10,N,1,LT,Stable,20-Oct-00,N,Lithuania,56,24,12/31/2000,2000
317771,State of Kuwait,Issuer Credit Rating,Foreign Curr (Long-term),A,5/2/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Kuwait,A,6,N,1,KW,Stable,2-May-00,N,Kuwait,29.3375,47.6581,12/31/2000,2000
319004,Kingdom of Morocco,Issuer Credit Rating,Foreign Curr (Long-term),BB,7/7/2000,N,Sovereign,Affirmation,SG,"Europe, Middle East, Africa",Morocco,BB,12,N,1,MA,Stable,7-Jul-00,N,Morocco,32,-5,12/31/2000,2000
319310,Republic of Estonia,Issuer Credit Rating,Foreign Curr (Long-term),BBB+,12/22/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Estonia,BBB,8,N,1,EE,Positive,22-Dec-00,N,Estonia,59,26,12/31/2000,2000
319506,Republic of Peru,Issuer Credit Rating,Foreign Curr (Long-term),BB-,11/1/2000,N,Sovereign,Downgrade,SG,Latin America,Peru,BB,13,N,1,PE,Stable,1-Nov-00,N,Peru,-10,-76,12/31/2000,2000
320142,Cook Islands,Issuer Credit Rating,Foreign Curr (Long-term),B,5/23/2000,N,Sovereign,Upgrade,SG,Pacific,Cook Islands,B,15,N,1,CK,Stable,23-May-00,N,Cook Islands,-21.2333,-159.7667,12/31/2000,2000
322214,Republic of Bulgaria,Issuer Credit Rating,Foreign Curr (Long-term),B+,5/10/2000,N,Sovereign,Upgrade,SG,"Europe, Middle East, Africa",Bulgaria,B,14,N,1,BG,Positive,10-May-00,N,Bulgaria,43,25,12/31/2000,2000
324889,Plurinational State of Bolivia,Issuer Credit Rating,Foreign Curr (Long-term),B+,10/18/2000,N,Sovereign,Downgrade,SG,Latin America,Bolivia,B,14,N,1,BO,Stable,18-Oct-00,N,Bolivia,-17,-65,12/31/2000,2000
330404,Independent State of Papua New Guinea,Issuer Credit Rating,Foreign Curr (Long-term),B+,6/29/2000,N,Sovereign,Affirmation,SG,Pacific,Papua New Guinea,B,14,N,1,PG,Stable,29-Jun-00,N,Papua New Guinea,-6,147,12/31/2000,2000
339984,Jamaica,Issuer Credit Rating,Foreign Curr (Long-term),B,12/14/2000,N,Sovereign,Affirmation,SG,Latin America,Jamaica,B,15,N,1,JM,Positive,14-Dec-00,N,Jamaica,18.25,-77.5,12/31/2000,2000
340818,Barbados,Issuer Credit Rating,Foreign Curr (Long-term),A-,6/13/2000,N,Sovereign,Affirmation,IG,Latin America,Barbados,A,7,N,1,BB,Stable,13-Jun-00,N,Barbados,13.1667,-59.5333,12/31/2000,2000
341899,Isle of Man,Issuer Credit Rating,Foreign Curr (Long-term),AAA,3/15/2000,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Isle of Man,AAA,1,N,1,IM,Stable,15-Mar-00,N,Isle of Man,54,4,12/31/2000,2000
345331,Republic of Ecuador,Issuer Credit Rating,Foreign Curr (Long-term),B-,8/25/2000,N,Sovereign,Upgrade,SG,Latin America,Ecuador,B,16,N,1,EC,Stable,25-Aug-00,N,Ecuador,-2,-77.5,12/31/2000,2000
345768,Belize,Issuer Credit Rating,Foreign Curr (Long-term),BB,10/5/2000,N,Sovereign,Affirmation,SG,Latin America,Belize,BB,12,N,1,BZ,Stable,5-Oct-00,N,Belize,17.25,-88.75,12/31/2000,2000
348105,Republic of Senegal,Issuer Credit Rating,Foreign Curr (Long-term),B+,12/18/2000,N,Sovereign,New from Confid,SG,"Europe, Middle East, Africa",Senegal,B,14,N,1,SN,Stable,18-Dec-00,N,Senegal,14,-14,12/31/2000,2000
101718,Kingdom of Norway,Issuer Credit Rating,Foreign Curr (Long-term),AAA,10/29/2004,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Norway,AAA,1,N,1,NO,Stable,29-Oct-04,N,Norway,62,10,12/31/2001,2001
102490,Bolivarian Republic of Venezuela,Issuer Credit Rating,Foreign Curr (Long-term),B,2/11/2002,N,Sovereign,Affirmation,SG,Latin America,Venezuela,B,15,N,1,VE,WatchNeg,11-Feb-02,N,Venezuela,8,-66,12/31/2001,2001
104548,United Kingdom (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,6/24/2003,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",United Kingdom,AAA,1,N,1,GB,Stable,24-Jun-03,N,United Kingdom,54,-2,12/31/2001,2001
107118,Federal Republic of Germany (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/10/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Germany,AAA,1,N,1,DE,Stable,10-Dec-02,N,Germany,51,9,12/31/2001,2001
107121,Kingdom of Belgium (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AA+,2/18/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Belgium,AA,2,N,1,BE,Stable,18-Feb-02,N,Belgium,50.8333,4,12/31/2001,2001
107141,Swiss Confederation (Unsolicited Ratings),Issuer Credit Rating,Foreign Curr (Long-term),AAA,12/16/2002,N,Sovereign,Affirmation,IG,"Europe, Middle East, Africa",Switzerland,AAA,1,N,2,CH,Stable,16-Dec-02,N,Switzerland,47,8,12/31/2001,2001
